No.overall,No. inseason,Title,Directed by,Written and storyboarded by,Original air date ,Prod.code ,US viewers(millions)
80,1,"""Exit 9B""[a]",Robert Alvarez (animation),"Calvin Wong, Toby Jones, Andres Salaff, and Madeline Queripel","October 1, 2012 (2012-10-01)",1012-0811012-082,3.05
81,2,"""Starter Pack""",Robert Alvarez (animation),Benton Connor and Hilary Florido,"October 8, 2012 (2012-10-08)",1012-088,1.86
82,3,"""Terror Tales of the Park II""[a]",Robert Alvarez (animation),"Benton Connor and Hilary Florido (""Payback""), Sean Szeles and Kat Morris (""Party Bus"" and ""Wallpaper Man"")","October 15, 2012 (2012-10-15)",1012-0831012-084,3.11
83,4,"""Pie Contest""",Robert Alvarez (animation),Sarah Oleksyk and Hellen Jo,"October 22, 2012 (2012-10-22)",1012-085,2.62
84,5,"""150 Piece Kit""",Robert Alvarez (animation),Calvin Wong and Toby Jones,"October 29, 2012 (2012-10-29)",1012-086,2.11
85,6,"""Bald Spot""",Robert Alvarez (animation),Andres Salaff and Madeline Queripel,"November 12, 2012 (2012-11-12)",1012-087,2.61
86,7,"""Guy's Night""",Robert Alvarez (animation),Sean Szeles and Kat Morris,"November 19, 2012 (2012-11-19)",1012-089,2.46
87,8,"""One Pull Up""",Robert Alvarez (animation),Sarah Oleksyk and Hellen Jo,"November 26, 2012 (2012-11-26)",1012-090,2.14
88,9,"""The Christmas Special""[a]",J. G. Quintel and Mike RothRobert Alvarez (animation),"Sean Szeles, Kat Morris, Benton Connor, and Hilary Florido","December 3, 2012 (2012-12-03)",1012-0931012-094,2.71
89,10,"""T.G.I. Tuesday""",Robert Alvarez (animation),Calvin Wong and Toby Jones,"January 7, 2013 (2013-01-07)",1012-091,2.81
90,11,"""Firework Run""",Robert Alvarez (animation),Andres Salaff and Madeline Queripel,"January 14, 2013 (2013-01-14)",1012-092,2.24
91,12,"""The Longest Weekend""",Robert Alvarez (animation),Sarah Oleksyk and Hellen Jo,"January 21, 2013 (2013-01-21)",1012-095,2.51
92,13,"""Sandwich of Death""",Robert Alvarez (animation),Andres Salaff and Madeline Queripel,"January 28, 2013 (2013-01-28)",1012-097,2.54
93,14,"""Ace Balthazar Lives""",Robert Alvarez (animation),Benton Connor and Hilary Florido,"February 4, 2013 (2013-02-04)",1012-098,2.27
94,15,"""Do or Diaper""",Robert Alvarez (animation),Sean Szeles and Kat Morris,"February 11, 2013 (2013-02-11)",1012-099,2.67
95,16,"""Quips""",Robert Alvarez (animation),Sarah Oleksyk and Hellen Jo,"February 18, 2013 (2013-02-18)",1012-100,2.43
96,17,"""Caveman""",Robert Alvarez (animation),Calvin Wong and Toby Jones,"February 25, 2013 (2013-02-25)",1012-101,2.44
97,18,"""That's My Television""",Robert Alvarez (animation),Andres Salaff and Madeline Queripel,"March 4, 2013 (2013-03-04)",1012-102,2.40
98,19,"""A Bunch of Full Grown Geese""",Robert Alvarez (animation),Calvin Wong and Toby Jones,"March 25, 2013 (2013-03-25)",1012-096,2.58
99,20,"""Fool Me Twice""",Robert Alvarez (animation),Calvin Wong and Toby Jones,"April 1, 2013 (2013-04-01)",1012-116,2.14
100,21,"""Limousine Lunchtime""",Robert Alvarez (animation),Benton Connor and Hilary Florido,"April 8, 2013 (2013-04-08)",1012-103,2.35
101,22,"""Picking Up Margaret""",Robert Alvarez (animation),Sean Szeles and Kat Morris,"April 15, 2013 (2013-04-15)",1012-104,2.26
102,23,"""K.I.L.I.T. Radio""",Robert Alvarez (animation),Benton Connor and Sarah Oleksyk,"April 22, 2013 (2013-04-22)",1012-105,1.94
103,24,"""Carter and Briggs""",Robert Alvarez (animation),Calvin Wong and Toby Jones,"May 6, 2013 (2013-05-06)",1012-106,2.12
104,25,"""Skips' Stress""",Robert Alvarez (animation),Andres Salaff and Madeline Queripel,"May 13, 2013 (2013-05-13)",1012-107,2.08
105,26,"""Cool Cubed""",Robert Alvarez (animation),Benton Connor and Hilary Florido,"May 20, 2013 (2013-05-20)",1012-108,2.37
106,27,"""Trailer Trashed""",Robert Alvarez (animation),Calvin Wong and Kat Morris,"May 27, 2013 (2013-05-27)",1012-109,2.04
107,28,"""Meteor Moves""",Robert Alvarez (animation),Benton Connor and Sarah Oleksyk,"June 10, 2013 (2013-06-10)",1012-110,2.46
108,29,"""Family BBQ""",Robert Alvarez (animation),Benton Connor and Hilary Florido,"June 17, 2013 (2013-06-17)",1012-113,2.27
109,30,"""The Last Laserdisc Player""",Robert Alvarez (animation),Calvin Wong and Toby Jones,"June 24, 2013 (2013-06-24)",1012-111,2.25
110,31,"""Country Club""",Robert Alvarez (animation),Andres Salaff and Madeline Queripel,"July 1, 2013 (2013-07-01)",1012-112,2.51
111,32,"""Blind Trust""",Robert Alvarez (animation),Andres Salaff and Madeline Queripel,"July 15, 2013 (2013-07-15)",1012-117,2.47
112,33,"""World's Best Boss""",Robert Alvarez (animation),Kat Morris and James Kim,"July 15, 2013 (2013-07-15)",1012-114,2.47
113,34,"""Last Meal""",Robert Alvarez (animation),Sarah Oleksyk and Owen Dennis,"July 22, 2013 (2013-07-22)",1012-115,2.55
114,35,"""Sleep Fighter""",Robert Alvarez (animation),Kat Morris and James Kim,"July 29, 2013 (2013-07-29)",1012-119,2.06
115,36,"""Party Re-Pete""",Robert Alvarez (animation),Sarah Oleksyk and Owen Dennis,"August 5, 2013 (2013-08-05)",1012-120,2.88
116,37,"""Steak Me Amadeus""",Robert Alvarez (animation),Benton Connor and Hilary Florido,"August 12, 2013 (2013-08-12)",1012-118,2.44
