No.overall,No. inseason,Title,Animation direction by,Written and storyboarded by,Original air date ,Prod.code ,US viewers(millions)
218,1,"""One Space Day at a Time""",Robert Alvarez,Owen Dennis and Sean Glaze,"September 26, 2016 (2016-09-26)",1043-234,1.14
219,2,"""Cool Bro Bots""",Robert Alvarez,Benton Connor and Sam Spina,"September 26, 2016 (2016-09-26)",1043-235,1.14
220,3,"""Welcome to Space""",Robert Alvarez,Madeline Queripel and Alex Cline,"September 27, 2016 (2016-09-27)",1043-236,0.96
221,4,"""Space Creds""",Robert Alvarez,Casey Crowe and Gideon Chase,"September 27, 2016 (2016-09-27)",1043-237,0.96
222,5,"""Lost and Found""",Robert Alvarez,Minty Lewis and Ryan Pequin,"September 28, 2016 (2016-09-28)",1043-239,0.96
223,6,"""Ugly Moons""",Robert Alvarez,Benton Connor and Sam Spina,"September 29, 2016 (2016-09-29)",1043-240,0.98
224,7,"""The Dream Warrior""",Robert Alvarez,Madeline Queripel and Alex Cline,"September 30, 2016 (2016-09-30)",1043-241,1.09
225,8,"""The Brain of Evil""",Robert Alvarez,Owen Dennis and Sean Glaze,"October 3, 2016 (2016-10-03)",1043-238,0.82
226,9,"""Fries Night""",Robert Alvarez,Casey Crowe and Gideon Chase,"October 4, 2016 (2016-10-04)",1043-242,0.95
227,10,"""Spacey McSpaceTree""",Robert Alvarez and Brian Sheesley,Benton Connor and Sam Spina,"October 5, 2016 (2016-10-05)",1043-243,1.04
228,11,"""Can You Ear Me Now?""",Robert Alvarez and Brian Sheesley,Madeline Queripel and Alex Cline,"October 6, 2016 (2016-10-06)",1043-246,0.92
229,12,"""Stuck in an Elevator""",Robert Alvarez and Brian Sheesley,Casey Crowe and Gideon Chase,"October 7, 2016 (2016-10-07)",1043-247,0.95
230,13,"""The Space Race""",Robert Alvarez,Owen Dennis and Sean Glaze,"October 10, 2016 (2016-10-10)",1043-248,0.93
231,14,"""Operation Hear No Evil""",Robert Alvarez,Minty Lewis and Ryan Pequin,"October 11, 2016 (2016-10-11)",1043-249,0.91
232,15,"""Space Escape""",Robert Alvarez,Benton Connor and Sam Spina,"October 12, 2016 (2016-10-12)",1043-250,0.84
233,16,"""New Beds""",Robert Alvarez,Madeline Queripel and Alex Cline,"October 13, 2016 (2016-10-13)",1043-251,1.15
234,17,"""Mordeby and Rigbecai""",Robert Alvarez,Casey Crowe and Gideon Chase,"October 14, 2016 (2016-10-14)",1043-252,0.88
235,18,"""Alpha Dome""",Brian Sheesley and Robert Alvarez,Owen Dennis and Sean Glaze,"October 20, 2016 (2016-10-20)",1043-253,0.99
236,19,"""Terror Tales of the Park VI""[a]",Robert Alvarez and Brian Sheesley,"Sean Glaze (""Fear Planet""), Owen Dennis (""King-Sized Candy Bars""), Minty Lewis and Ryan Pequin (""Alien Roommate"")","October 27, 2016 (2016-10-27)",1043-2441043-245,1.05
237,20,"""The Ice Tape""",Robert Alvarez,Madeline Queripel and Alex Cline,"November 3, 2016 (2016-11-03)",1043-256,0.92
238,21,"""The Key to the Universe""",Robert Alvarez,Casey Crowe and Gideon Chase,"November 10, 2016 (2016-11-10)",1043-257,1.02
239,22,"""No Train No Gain""",Robert Alvarez,Owen Dennis and Sean Glaze,"November 17, 2016 (2016-11-17)",1043-258,0.99
240,23,"""Christmas in Space""[a]",Robert Alvarez and Brian Sheesley,"Minty Lewis, Ryan Pequin, Benton Connor, and Sam Spina","December 1, 2016 (2016-12-01)",1043-254A1043-254B,0.92
241,24,"""Kill 'Em with Kindness""",Robert Alvarez and Jeff Hall,Minty Lewis and Ryan Pequin,"January 14, 2017 (2017-01-14)",1043-259,1.08
242,25,"""Meet the Seer""",Robert Alvarez and Jeff Hall,Benton Connor and Sam Spina,"January 14, 2017 (2017-01-14)",1043-260,1.08
243,26,"""Cheer Up Pops""",Robert Alvarez and Jeff Hall,Casey Crowe and Gideon Chase,"January 16, 2017 (2017-01-16)",1043-261,1.33
244,27,"""A Regular Epic Final Battle""[b]","Robert Alvarez, Richard Collado and Jeff Hall","Minty Lewis, Ryan Pequin, Andres Salaff, Benton Connor, Owen Dennis, Alex Cline, Madeline Queripel, and Sam Spina","January 16, 2017 (2017-01-16)",1043-2621043-264A1043-264B,1.37
