No.overall,No. inseason,Title,Animation direction by,Written and storyboarded by,Original air date ,Prod.code ,U.S. viewers(millions)
1,1,"""The Power""",Robert Alvarez and Brian Sheesley,J. G. Quintel,"September 6, 2010 (2010-09-06)",697–003,2.10
2,2,"""Just Set Up the Chairs""",Robert Alvarez and Brian Sheesley,Sean Szeles and Shion Takeuchi,"September 13, 2010 (2010-09-13)",697–004,1.90
3,3,"""Caffeinated Concert Tickets""",Robert Alvarez and Brian Sheesley,J. G. Quintel and Mike Roth,"September 20, 2010 (2010-09-20)",697–001,1.72
4,4,"""Death Punchies""",Robert Alvarez and Brian Sheesley,"J. G. Quintel, Mike Roth, and Jake Armstrong","September 27, 2010 (2010-09-27)",697–007,1.98
5,5,"""Free Cake""",Robert Alvarez and Brian Sheesley,Kat Morris and Paul Scarlata,"October 4, 2010 (2010-10-04)",697–011,2.10
6,6,"""Meat Your Maker""",Robert Alvarez and Brian Sheesley,Sean Szeles and Shion Takeuchi,"October 11, 2010 (2010-10-11)",697–012,1.87
7,7,"""Grilled Cheese Deluxe""",Robert Alvarez and Brian Sheesley,Sean Szeles and Shion Takeuchi,"October 18, 2010 (2010-10-18)",697–008,2.16
8,8,"""The Unicorns Have Got to Go""",Robert Alvarez and Brian Sheesley,Kat Morris and Paul Scarlata,"October 25, 2010 (2010-10-25)",697–005,2.42
9,9,"""Prank Callers""",Robert Alvarez and Brian Sheesley,"J. G. Quintel, Mike Roth, and Kent Osborne","November 1, 2010 (2010-11-01)",697–009,2.10
10,10,"""Don""",Robert Alvarez and Brian Sheesley,"Benton Connor, Kat Morris, and J. G. Quintel","November 8, 2010 (2010-11-08)",697–006,2.09
11,11,"""Rigby's Body""",Robert Alvarez and Brian Sheesley,J. G. Quintel and Mike Roth,"November 15, 2010 (2010-11-15)",697–002,1.93
12,12,"""Mordecai and the Rigbys""",Robert Alvarez and Brian Sheesley,Sean Szeles and Shion Takeuchi,"November 22, 2010 (2010-11-22)",697–010,2.03
